varnames,component,sensor,parameter,pc,UoM
AccChkSum,OP,AccChkSum,OVL,,
AmbTmp,OP,AmbTmp,OVL,,C
Gbx1Ps-1TMF,GBX,Gbx1Ps,1TMF,,m/s2
Gbx1Ps-2TMF,GBX,Gbx1Ps,2TMF,,m/s2
Gbx1Ps-3TMF,GBX,Gbx1Ps,3TMF,,m/s2
Gbx1Ps-4TMF,GBX,Gbx1Ps,4TMF,,m/s2
Gbx1Ps-5TMF,GBX,Gbx1Ps,5TMF,,m/s2
Gbx1Ps-BPV-1-20,GBX,Gbx1Ps,BPV-1-20,,m/s2
Gbx1Ps-BPV-20-200,GBX,Gbx1Ps,BPV-20-200,,m/s2
Gbx1Ps-CF-100-200,GBX,Gbx1Ps,CF-100-200,,m/s2
Gbx1Ps-ECU-100-200-1-70,GBX,Gbx1Ps,ECU-100-20,,m/s2
Gbx1Ps-ECU-3k-10k-1-300,GBX,Gbx1Ps,ECU-3k-10k,,m/s2
Gbx1Ps-HFBP,GBX,Gbx1Ps,HFBP,,m/s2
Gbx1Ps-HFCF,GBX,Gbx1Ps,HFCF,,
Gbx1Ps-ISOA,GBX,Gbx1Ps,ISOA,,m/s2
Gbx1Ps-ISOA-21-0-1-10,GBX,Gbx1Ps,ISOA-21-0-1-10,,m/s2
Gbx1Ps-ISOA-21-10-2k,GBX,Gbx1Ps,ISOA-21-10,,m/s2
Gbx1Ps-ISOV-21-10-1k,GBX,Gbx1Ps,ISOV-21-10,,mm/s
Gbx1Ps-MESH,GBX,Gbx1Ps,MESH,,m/s2
Gbx1Ps-RV,GBX,Gbx1Ps,RV,,m/s2
GbxBrgHsMidOilTmpAct,GBX,GbxBrgHsMidOilTmpAct,OVL,,m/s2
GbxBrgOilTmpGsAct,GBX,GbxBrgOilTmpGsAct,OVL,,m/s2
GbxBrgOilTmpRsAct,GBX,GbxBrgOilTmpRsAct,OVL,,m/s2
GbxFtrAftInLnPresOilAvg,GBX,GbxFtrAftInLnPresOilAvg,OVL,,m/s2
GbxFtrBefInLnPresOilAvg,GBX,GbxFtrBefInLnPresOilAvg,OVL,,m/s2
GbxHssFr-1MA,GBX,GbxHssFr,1MA,,m/s2
GbxHssFr-1TMF,GBX,GbxHssFr,1TMF,,m/s2
GbxHssFr-2MA,GBX,GbxHssFr,2MA,,m/s2
GbxHssFr-2TMF,GBX,GbxHssFr,2TMF,,m/s2
GbxHssFr-3MA,GBX,GbxHssFr,3MA,,m/s2
GbxHssFr-3TMF,GBX,GbxHssFr,3TMF,,m/s2
GbxHssFr-ECU-3k-10k-1-300,GBX,GbxHssFr,ECU-3k-10k,,m/s2
GbxHssFr-HFBP,GBX,GbxHssFr,HFBP,,m/s2
GbxHssFr-ISOA,GBX,GbxHssFr,ISOA,,m/s2
GbxHssFr-ISOA-21-10-2k,GBX,GbxHssFr,ISOA-21-10,,m/s2
GbxHssFr-ISOV-21-10-1k,GBX,GbxHssFr,ISOV-21-10,,mm/s
GbxHssFr-MESH,GBX,GbxHssFr,MESH,,m/s2
GbxHssFr-RV,GBX,GbxHssFr,RV,,m/s2
GbxHssRr-1MA,GBX,GbxHssRr,1MA,,m/s2
GbxHssRr-1TMF,GBX,GbxHssRr,1TMF,,m/s2
GbxHssRr-2MA,GBX,GbxHssRr,2MA,,m/s2
GbxHssRr-2TMF,GBX,GbxHssRr,2TMF,,m/s2
GbxHssRr-3MA,GBX,GbxHssRr,3MA,,m/s2
GbxHssRr-3TMF,GBX,GbxHssRr,3TMF,,m/s2
GbxHssRr-ECU-3k-10k-1-300,GBX,GbxHssRr,ECU-3k-10k,,m/s2
GbxHssRr-HFBP,GBX,GbxHssRr,HFBP,,m/s2
GbxHssRr-ISOA,GBX,GbxHssRr,ISOA,,m/s2
GbxHssRr-ISOA-21-10-2k,GBX,GbxHssRr,ISOA-21-10,,m/s2
GbxHssRr-ISOV-21-10-1k,GBX,GbxHssRr,ISOV-21-10,,mm/s
GbxHssRr-MESH,GBX,GbxHssRr,MESH,,m/s2
GbxHssRr-RV,GBX,GbxHssRr,RV,,m/s2
GbxIss-1MA,GBX,GbxIss,1MA,,m/s2
GbxIss-1TMF,GBX,GbxIss,1TMF,,m/s2
GbxIss-2MA,GBX,GbxIss,2MA,,m/s2
GbxIss-2TMF,GBX,GbxIss,2TMF,,m/s2
GbxIss-3MA,GBX,GbxIss,3MA,,m/s2
